,Año,Id_Municipio,Nombre_Municipio,Poblacion,Total_Accidentes,Tasa_Accidentes,Total_Muertes,Tasa_Muertos,Total_Muertes_Alcohol,Tasa_Muertos_Alcohol,Total_Heridos,Tasa_Heridos,Total_Heridos_Alcohol,Tasa_Heridos_Alcohol,Total_Cinturon_Uso,Total_Cinturon_Tasa,Total_Fugas,Total_Fugas_Tasa
60,1997,61,Soyopa,1649,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
61,1997,62,Suaqui Grande,1175,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
62,1997,63,Tepache,1539,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
63,1997,64,Trincheras,1756,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
64,1997,65,Tubutama,1798,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
65,1997,66,Ures,9565,13,1.359121798222687,0,0.0,0,0.0,8,0.8363826450601151,0,0.0,0,0.0,1,0.10454783063251438
66,1997,67,Villa Hidalgo,1986,4,2.014098690835851,0,0.0,0,0.0,2,1.0070493454179255,2,1.0070493454179255,0,0.0,0,0.0
67,1997,68,Villa Pesqueira,1590,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
68,1997,69,Yécora,6069,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
69,1997,70,General Plutarco Elías Calles,11278,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
70,1997,71,Benito Juárez,21813,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
71,1997,72,San Ignacio Río Muerto,13692,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
72,1998,1,Aconchi,2420,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
73,1998,2,Agua Prieta,61944,673,10.864651943691076,6,0.09686168151879117,3,0.048430840759395584,140,2.2601059021051273,25,0.4035903396616299,0,0.0,105,1.6950794265788454
74,1998,3,Alamos,25152,44,1.7493638676844785,3,0.11927480916030533,0,0.0,25,0.9939567430025446,0,0.0,0,0.0,2,0.07951653944020357
75,1998,4,Altar,7253,54,7.445195091686198,2,0.2757479663587481,0,0.0,19,2.619605680408107,1,0.13787398317937405,0,0.0,6,0.8272438990762443
76,1998,5,Arivechi,1484,8,5.3908355795148255,1,0.6738544474393532,0,0.0,4,2.6954177897574128,0,0.0,0,0.0,0,0.0
77,1998,6,Arizpe,3396,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
78,1998,7,Atil,718,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
79,1998,8,Bacadéhuachi,1348,1,0.741839762611276,0,0.0,0,0.0,12,8.902077151335313,0,0.0,0,0.0,0,0.0
80,1998,9,Bacanora,943,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
81,1998,10,Bacerac,1366,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
82,1998,11,Bacoachi,1496,15,10.026737967914439,0,0.0,0,0.0,1,0.6684491978609626,0,0.0,0,0.0,0,0.0
83,1998,12,Bácum,21322,52,2.4387956101679014,6,0.2813994934809117,2,0.09379983116030391,54,2.5325954413282057,16,0.7503986492824313,0,0.0,5,0.2344995779007598
84,1998,13,Banámichi,1484,4,2.6954177897574128,0,0.0,0,0.0,4,2.6954177897574128,3,2.0215633423180592,0,0.0,0,0.0
85,1998,14,Baviácora,3724,10,2.6852846401718584,1,0.26852846401718583,0,0.0,6,1.611170784103115,0,0.0,0,0.0,0,0.0
86,1998,15,Bavispe,1377,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
87,1998,16,Benjamín Hill,5732,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
88,1998,17,Caborca,69516,1021,14.687266240865412,19,0.27331837274871973,3,0.043155532539271534,278,3.999079348639162,27,0.3883997928534438,0,0.0,243,3.495598135680994
89,1998,18,Cajeme,356290,2985,8.378006679951726,25,0.07016756013359902,5,0.014033512026719807,1165,3.269808302225715,147,0.4125852535855623,0,0.0,205,0.5753739930955121
90,1998,19,Cananea,32061,194,6.050965347306697,1,0.031190543027354106,1,0.031190543027354106,96,2.994292130625994,14,0.4366676023829575,0,0.0,13,0.4054770593556034
91,1998,20,Carbó,4984,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
92,1998,21,La Colorada,2306,1,0.43365134431916735,0,0.0,0,0.0,6,2.6019080659150045,0,0.0,0,0.0,0,0.0
93,1998,22,Cucurpe,937,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
94,1998,23,Cumpas,6202,66,10.641728474685586,0,0.0,0,0.0,25,4.030957755562722,20,3.2247662044501775,0,0.0,1,0.16123831022250887
95,1998,24,Divisaderos,825,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
96,1998,25,Empalme,49987,253,5.061315942144958,6,0.12003120811410967,1,0.02000520135235161,111,2.2205773501110286,31,0.6201612419228999,0,0.0,26,0.5201352351611419
97,1998,26,Etchojoa,56129,18,0.3206898394769192,1,0.01781610219316218,0,0.0,10,0.1781610219316218,0,0.0,0,0.0,6,0.10689661315897309
98,1998,27,Fronteras,7801,11,1.4100756313293168,2,0.25637738751442124,0,0.0,11,1.4100756313293168,0,0.0,0,0.0,0,0.0
99,1998,28,Granados,1235,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
100,1998,29,Guaymas,130329,1239,9.506709941762768,7,0.05371022565967667,0,0.0,427,3.276323765240276,58,0.4450275840373209,0,0.0,73,0.5601209247366281
